semester,gender,friends_time,faculty_time,attendance,attentiveness,study_time,social_time,previous_score,sleep_time,library_time,group_name,Decision
3,female,never,sometimes,>85,High,>4,1 to 4,>9,6 to 8,>4,,>9
2,male,never,sometimes,>85,High,>4,1 to 4,>9,6 to 8,>4,,>9
2,male,often,often,>85,High,>4,<1,>9,6 to 8,>4,,>9
5,male,often,never,>85,High,>4,<1,>9,6 to 8,1 to 4,,>9
1,male,never,often,>85,High,>4,<1,>9,6 to 8,<1,,>9
2,female,sometimes,sometimes,>85,High,>4,>4,>9,6 to 8,1 to 4,,>9
4,male,sometimes,sometimes,>85,High,>4,<1,>9,>8,1 to 4,,>9
7,female,sometimes,sometimes,85 to 75,High,1 to 4,1 to 4,>9,6 to 8,>4,,>9
4,male,sometimes,often,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,>9
7,female,sometimes,never,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,>9
6,male,sometimes,sometimes,85 to 75,High,1 to 4,<1,>9,6 to 8,>4,,>9
4,female,often,often,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,>9
3,female,never,sometimes,>85,Low,>4,<1,>9,<6,1 to 4,,>9
2,male,never,sometimes,>85,Low,>4,<1,>9,6 to 8,>4,,>9
3,female,sometimes,sometimes,>85,Low,>4,<1,>9,6 to 8,1 to 4,,>9
8,female,sometimes,never,>85,Low,>4,1 to 4,>9,6 to 8,1 to 4,,>9
5,female,sometimes,often,>85,Low,1 to 4,1 to 4,>9,6 to 8,>4,,>9
7,female,often,sometimes,>85,Moderate,>4,1 to 4,>9,<6,<1,,>9
4,female,often,never,>85,Moderate,>4,<1,>9,6 to 8,1 to 4,,>9
6,male,never,sometimes,>85,Moderate,>4,<1,>9,6 to 8,>4,,>9
3,female,sometimes,sometimes,>85,Moderate,>4,<1,>9,6 to 8,1 to 4,,>9
4,male,sometimes,often,>85,Moderate,>4,1 to 4,>9,<6,1 to 4,,>9
5,male,never,never,>85,Moderate,>4,<1,>9,6 to 8,>4,,>9
3,female,sometimes,often,85 to 75,Moderate,>4,<1,>9,<6,>4,,>9
6,male,never,sometimes,>85,Moderate,>4,<1,>9,6 to 8,1 to 4,,>9
2,female,sometimes,never,>85,Moderate,>4,>4,>9,6 to 8,>4,,>9
4,male,often,sometimes,85 to 75,Moderate,>4,<1,>9,6 to 8,>4,,>9
7,female,sometimes,often,>85,Moderate,>4,1 to 4,>9,6 to 8,1 to 4,,>9
4,female,sometimes,often,85 to 75,Moderate,1 to 4,1 to 4,>9,6 to 8,>4,,>9
6,female,often,often,>85,Moderate,1 to 4,<1,>9,6 to 8,<1,,>9
5,female,often,often,>85,Moderate,1 to 4,1 to 4,>9,6 to 8,1 to 4,,>9
4,female,never,sometimes,>85,Moderate,1 to 4,<1,>9,<6,>4,,>9
8,male,sometimes,sometimes,>85,Moderate,1 to 4,<1,>9,6 to 8,>4,,>9
2,male,never,sometimes,>85,Moderate,1 to 4,<1,>9,<6,1 to 4,,>9
3,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,<1,>9,6 to 8,>4,,>9
7,male,often,sometimes,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,5 to 7
5,female,sometimes,sometimes,>85,High,1 to 4,<1,>9,<6,>4,,5 to 7
7,female,never,sometimes,85 to 75,High,1 to 4,1 to 4,>9,<6,<1,,5 to 7
8,male,never,sometimes,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,5 to 7
6,male,often,never,>85,Low,1 to 4,1 to 4,>9,>8,<1,,5 to 7
3,female,sometimes,sometimes,85 to 75,Moderate,<1,<1,>9,>8,<1,,5 to 7
6,female,often,sometimes,>85,Moderate,>4,<1,>9,6 to 8,<1,,5 to 7
5,female,never,sometimes,>85,Moderate,>4,1 to 4,>9,6 to 8,1 to 4,,5 to 7
5,male,sometimes,sometimes,>85,Moderate,>4,<1,>9,>8,1 to 4,,5 to 7
3,female,never,sometimes,>85,Moderate,1 to 4,1 to 4,>9,6 to 8,1 to 4,,5 to 7
3,female,sometimes,often,85 to 75,High,>4,<1,>9,6 to 8,>4,,7 to 9
8,male,sometimes,sometimes,>85,High,>4,<1,>9,>8,<1,,7 to 9
7,female,often,sometimes,>85,High,>4,<1,>9,6 to 8,>4,,7 to 9
7,female,sometimes,sometimes,>85,High,>4,<1,>9,6 to 8,1 to 4,,7 to 9
1,male,often,never,>85,High,>4,<1,>9,6 to 8,<1,,7 to 9
2,female,sometimes,often,>85,High,>4,1 to 4,>9,6 to 8,>4,,7 to 9
8,female,never,sometimes,>85,High,>4,<1,>9,6 to 8,1 to 4,,7 to 9
7,male,never,often,>85,High,>4,<1,>9,6 to 8,<1,,7 to 9
6,female,never,never,85 to 75,High,>4,<1,>9,<6,<1,,7 to 9
2,male,never,sometimes,>85,High,>4,1 to 4,>9,6 to 8,1 to 4,,7 to 9
7,female,sometimes,often,>85,High,>4,>4,>9,6 to 8,<1,,7 to 9
3,female,sometimes,sometimes,>85,High,>4,1 to 4,>9,>8,1 to 4,,7 to 9
5,male,never,sometimes,>85,High,>4,<1,>9,6 to 8,1 to 4,,7 to 9
4,male,sometimes,often,>85,High,>4,1 to 4,>9,6 to 8,1 to 4,,7 to 9
5,male,often,sometimes,85 to 75,High,>4,1 to 4,>9,<6,>4,,7 to 9
3,male,never,sometimes,<75,High,>4,<1,>9,6 to 8,1 to 4,,7 to 9
7,female,sometimes,sometimes,>85,High,>4,<1,>9,6 to 8,1 to 4,,7 to 9
3,female,often,sometimes,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,7 to 9
6,female,sometimes,never,85 to 75,High,1 to 4,<1,>9,6 to 8,<1,,7 to 9
8,female,sometimes,sometimes,85 to 75,High,1 to 4,<1,>9,6 to 8,>4,,7 to 9
5,female,often,often,85 to 75,High,1 to 4,1 to 4,>9,6 to 8,1 to 4,,7 to 9
3,male,sometimes,never,85 to 75,High,1 to 4,1 to 4,>9,>8,>4,,7 to 9
8,male,sometimes,sometimes,>85,High,1 to 4,1 to 4,>9,6 to 8,1 to 4,,7 to 9
6,male,sometimes,sometimes,>85,High,1 to 4,1 to 4,>9,6 to 8,1 to 4,,7 to 9
2,male,never,often,>85,High,1 to 4,1 to 4,>9,6 to 8,>4,,7 to 9
2,female,sometimes,often,85 to 75,High,1 to 4,<1,>9,<6,1 to 4,,7 to 9
1,female,sometimes,sometimes,>85,High,1 to 4,<1,>9,6 to 8,1 to 4,,7 to 9
7,male,sometimes,sometimes,85 to 75,Moderate,<1,<1,>9,6 to 8,>4,,7 to 9
8,male,sometimes,sometimes,>85,Moderate,>4,>4,>9,>8,<1,,7 to 9
4,female,sometimes,sometimes,85 to 75,Moderate,>4,1 to 4,>9,>8,1 to 4,,7 to 9
8,male,often,sometimes,>85,Moderate,>4,<1,>9,<6,1 to 4,,7 to 9
4,female,sometimes,never,85 to 75,Moderate,>4,1 to 4,>9,6 to 8,<1,,7 to 9
5,female,often,sometimes,>85,Moderate,>4,<1,>9,6 to 8,1 to 4,,7 to 9
7,male,never,never,85 to 75,Moderate,>4,1 to 4,>9,>8,1 to 4,,7 to 9
4,female,often,often,>85,Moderate,1 to 4,<1,>9,6 to 8,1 to 4,,7 to 9
5,female,often,often,>85,Moderate,1 to 4,<1,>9,6 to 8,1 to 4,,7 to 9
6,male,sometimes,sometimes,>85,Moderate,1 to 4,<1,>9,6 to 8,<1,,7 to 9
8,male,never,never,<75,Moderate,1 to 4,<1,>9,<6,<1,,7 to 9
4,male,often,sometimes,>85,High,>4,1 to 4,5 to 7,6 to 8,<1,,<5
8,female,sometimes,often,>85,Low,>4,<1,5 to 7,6 to 8,1 to 4,,<5
5,male,sometimes,sometimes,>85,Low,>4,>4,5 to 7,6 to 8,>4,,<5
4,female,sometimes,sometimes,<75,Low,>4,<1,5 to 7,<6,1 to 4,,<5
1,female,sometimes,sometimes,>85,Low,>4,<1,5 to 7,<6,>4,,<5
8,female,sometimes,sometimes,>85,Moderate,>4,<1,5 to 7,<6,<1,,<5
6,male,sometimes,sometimes,>85,Moderate,1 to 4,<1,5 to 7,6 to 8,1 to 4,,<5
6,female,sometimes,sometimes,85 to 75,High,>4,<1,5 to 7,6 to 8,1 to 4,,>9
3,male,sometimes,sometimes,>85,High,>4,<1,5 to 7,6 to 8,>4,,>9
5,male,often,sometimes,85 to 75,High,>4,<1,5 to 7,6 to 8,1 to 4,,>9
4,female,sometimes,often,>85,High,>4,1 to 4,5 to 7,6 to 8,1 to 4,,>9
8,male,sometimes,often,85 to 75,High,>4,1 to 4,5 to 7,6 to 8,>4,,>9
1,female,sometimes,sometimes,85 to 75,High,>4,1 to 4,5 to 7,6 to 8,1 to 4,,>9
1,male,often,sometimes,85 to 75,High,>4,>4,5 to 7,6 to 8,>4,,>9
3,female,never,never,>85,High,>4,<1,5 to 7,<6,1 to 4,,>9
8,female,never,sometimes,>85,High,>4,>4,5 to 7,6 to 8,<1,,>9
6,female,sometimes,sometimes,85 to 75,High,1 to 4,<1,5 to 7,6 to 8,1 to 4,,>9
1,female,often,often,>85,High,1 to 4,<1,5 to 7,<6,1 to 4,,>9
6,male,never,sometimes,85 to 75,Moderate,<1,<1,5 to 7,<6,1 to 4,,>9
1,male,never,often,85 to 75,Moderate,>4,<1,5 to 7,6 to 8,>4,,>9
2,female,never,often,>85,Moderate,>4,1 to 4,5 to 7,6 to 8,1 to 4,,>9
6,female,sometimes,often,>85,Moderate,>4,<1,5 to 7,6 to 8,1 to 4,,>9
2,female,often,sometimes,>85,Moderate,>4,>4,5 to 7,<6,>4,,>9
8,male,sometimes,sometimes,>85,Moderate,>4,1 to 4,5 to 7,6 to 8,1 to 4,,>9
4,male,sometimes,sometimes,85 to 75,Moderate,>4,<1,5 to 7,>8,1 to 4,,>9
5,female,sometimes,never,85 to 75,Moderate,>4,1 to 4,5 to 7,<6,1 to 4,,>9
3,male,sometimes,sometimes,85 to 75,Moderate,>4,1 to 4,5 to 7,>8,>4,,>9
3,male,sometimes,sometimes,>85,Moderate,1 to 4,<1,5 to 7,6 to 8,<1,,>9
1,female,often,often,85 to 75,Moderate,1 to 4,<1,5 to 7,<6,<1,,>9
4,female,sometimes,sometimes,>85,Moderate,1 to 4,<1,5 to 7,6 to 8,<1,,>9
1,female,never,sometimes,>85,Moderate,1 to 4,<1,5 to 7,>8,1 to 4,,>9
3,female,sometimes,sometimes,>85,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,<1,,>9
8,female,often,sometimes,85 to 75,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,>4,,>9
1,male,never,never,>85,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,1 to 4,,>9
5,male,sometimes,sometimes,>85,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,1 to 4,,>9
4,male,sometimes,never,>85,High,<1,>4,5 to 7,6 to 8,<1,,5 to 7
6,male,sometimes,never,>85,High,>4,<1,5 to 7,6 to 8,>4,,5 to 7
4,male,never,often,>85,High,>4,<1,5 to 7,>8,1 to 4,,5 to 7
6,male,sometimes,sometimes,>85,High,1 to 4,>4,5 to 7,<6,>4,,5 to 7
4,female,sometimes,sometimes,>85,High,1 to 4,<1,5 to 7,>8,1 to 4,,5 to 7
8,female,often,never,>85,Moderate,>4,1 to 4,5 to 7,6 to 8,>4,,5 to 7
4,male,often,sometimes,>85,Moderate,>4,<1,5 to 7,<6,>4,,5 to 7
2,male,often,never,>85,Moderate,>4,<1,5 to 7,6 to 8,1 to 4,,5 to 7
2,female,often,sometimes,>85,Moderate,>4,1 to 4,5 to 7,6 to 8,1 to 4,,5 to 7
1,female,sometimes,sometimes,85 to 75,Moderate,1 to 4,<1,5 to 7,6 to 8,>4,,5 to 7
1,male,sometimes,sometimes,>85,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,>4,,5 to 7
1,female,sometimes,often,>85,High,<1,<1,5 to 7,6 to 8,>4,,7 to 9
1,male,sometimes,sometimes,>85,High,>4,<1,5 to 7,6 to 8,>4,,7 to 9
1,male,never,never,>85,High,>4,<1,5 to 7,6 to 8,<1,,7 to 9
5,male,sometimes,never,>85,High,>4,1 to 4,5 to 7,>8,1 to 4,,7 to 9
7,female,often,sometimes,>85,High,>4,<1,5 to 7,6 to 8,<1,,7 to 9
8,male,never,never,>85,High,>4,1 to 4,5 to 7,6 to 8,1 to 4,,7 to 9
4,male,sometimes,never,>85,High,>4,1 to 4,5 to 7,6 to 8,>4,,7 to 9
6,male,sometimes,never,85 to 75,High,>4,1 to 4,5 to 7,6 to 8,>4,,7 to 9
1,male,often,sometimes,85 to 75,High,>4,<1,5 to 7,6 to 8,1 to 4,,7 to 9
2,male,often,often,>85,High,>4,<1,5 to 7,<6,<1,,7 to 9
1,male,often,never,>85,High,>4,<1,5 to 7,6 to 8,<1,,7 to 9
3,female,often,often,>85,High,>4,1 to 4,5 to 7,6 to 8,>4,,7 to 9
3,male,sometimes,never,85 to 75,High,>4,<1,5 to 7,<6,<1,,7 to 9
6,male,sometimes,sometimes,85 to 75,High,>4,<1,5 to 7,6 to 8,>4,,7 to 9
6,male,never,sometimes,>85,High,1 to 4,<1,5 to 7,6 to 8,<1,,7 to 9
1,female,sometimes,sometimes,>85,High,1 to 4,<1,5 to 7,6 to 8,1 to 4,,7 to 9
5,female,never,sometimes,>85,High,1 to 4,1 to 4,5 to 7,>8,1 to 4,,7 to 9
5,male,never,never,>85,High,1 to 4,<1,5 to 7,<6,1 to 4,,7 to 9
1,male,often,sometimes,85 to 75,High,1 to 4,>4,5 to 7,>8,1 to 4,,7 to 9
3,male,sometimes,never,85 to 75,High,1 to 4,<1,5 to 7,<6,>4,,7 to 9
4,male,sometimes,often,>85,High,1 to 4,>4,5 to 7,6 to 8,<1,,7 to 9
2,female,never,sometimes,>85,High,1 to 4,<1,5 to 7,6 to 8,1 to 4,,7 to 9
4,female,sometimes,sometimes,>85,High,1 to 4,<1,5 to 7,6 to 8,>4,,7 to 9
4,female,sometimes,sometimes,>85,High,1 to 4,<1,5 to 7,<6,1 to 4,,7 to 9
7,female,sometimes,never,>85,High,1 to 4,>4,5 to 7,6 to 8,1 to 4,,7 to 9
3,female,sometimes,sometimes,>85,High,1 to 4,<1,5 to 7,6 to 8,1 to 4,,7 to 9
4,male,sometimes,often,>85,High,1 to 4,<1,5 to 7,6 to 8,>4,,7 to 9
5,female,often,never,85 to 75,Low,<1,<1,5 to 7,>8,1 to 4,,7 to 9
2,female,never,never,>85,Moderate,<1,<1,5 to 7,6 to 8,1 to 4,,7 to 9
1,male,sometimes,sometimes,>85,Moderate,<1,1 to 4,5 to 7,6 to 8,<1,,7 to 9
3,male,often,sometimes,>85,Moderate,>4,<1,5 to 7,>8,>4,,7 to 9
8,female,never,sometimes,85 to 75,Moderate,>4,>4,5 to 7,6 to 8,1 to 4,,7 to 9
3,female,sometimes,often,85 to 75,Moderate,>4,<1,5 to 7,6 to 8,1 to 4,,7 to 9
2,male,sometimes,sometimes,>85,Moderate,>4,<1,5 to 7,<6,>4,,7 to 9
1,female,often,often,>85,Moderate,>4,<1,5 to 7,6 to 8,>4,,7 to 9
6,female,sometimes,sometimes,>85,Moderate,>4,<1,5 to 7,6 to 8,<1,,7 to 9
1,female,never,sometimes,>85,Moderate,>4,1 to 4,5 to 7,6 to 8,1 to 4,,7 to 9
5,female,sometimes,sometimes,85 to 75,Moderate,>4,<1,5 to 7,6 to 8,1 to 4,,7 to 9
7,male,never,often,>85,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,1 to 4,,7 to 9
8,male,never,sometimes,>85,Moderate,1 to 4,<1,5 to 7,<6,1 to 4,,7 to 9
4,male,never,often,>85,Moderate,1 to 4,1 to 4,5 to 7,6 to 8,>4,,7 to 9
5,female,sometimes,never,>85,Moderate,1 to 4,<1,5 to 7,6 to 8,>4,,7 to 9
2,male,often,never,>85,High,<1,1 to 4,7 to 9,<6,>4,,<5
4,male,often,never,>85,High,>4,<1,7 to 9,6 to 8,1 to 4,,<5
7,male,never,sometimes,>85,High,>4,1 to 4,7 to 9,6 to 8,1 to 4,,<5
3,male,never,sometimes,>85,High,>4,<1,7 to 9,6 to 8,1 to 4,,<5
6,male,sometimes,often,>85,High,>4,1 to 4,7 to 9,6 to 8,>4,,<5
1,female,never,sometimes,85 to 75,High,1 to 4,<1,7 to 9,6 to 8,>4,,<5
7,male,sometimes,sometimes,>85,Moderate,>4,1 to 4,7 to 9,6 to 8,>4,,<5
2,male,often,sometimes,>85,Moderate,>4,>4,7 to 9,6 to 8,1 to 4,,<5
4,male,often,sometimes,>85,High,>4,<1,7 to 9,6 to 8,>4,,>9
3,male,never,never,>85,High,>4,<1,7 to 9,<6,<1,,>9
6,female,sometimes,sometimes,>85,High,>4,<1,7 to 9,>8,1 to 4,,>9
1,male,sometimes,often,>85,High,>4,>4,7 to 9,6 to 8,1 to 4,,>9
5,female,sometimes,sometimes,>85,High,>4,<1,7 to 9,6 to 8,>4,,>9
6,female,never,often,85 to 75,High,>4,<1,7 to 9,6 to 8,<1,,>9
7,female,often,sometimes,>85,High,>4,<1,7 to 9,<6,1 to 4,,>9
2,male,never,often,85 to 75,High,>4,1 to 4,7 to 9,6 to 8,1 to 4,,>9
3,male,sometimes,sometimes,>85,High,1 to 4,<1,7 to 9,6 to 8,<1,,>9
8,female,often,sometimes,>85,Moderate,>4,<1,7 to 9,6 to 8,1 to 4,,>9
1,male,sometimes,sometimes,>85,Moderate,>4,<1,7 to 9,6 to 8,1 to 4,,>9
3,male,sometimes,never,>85,Moderate,>4,<1,7 to 9,6 to 8,1 to 4,,>9
7,female,never,never,>85,Moderate,1 to 4,1 to 4,7 to 9,6 to 8,<1,,>9
4,female,never,often,85 to 75,High,<1,<1,7 to 9,<6,1 to 4,,5 to 7
7,male,often,never,>85,High,<1,<1,7 to 9,6 to 8,<1,,5 to 7
7,male,never,sometimes,>85,High,>4,<1,7 to 9,6 to 8,1 to 4,,5 to 7
8,female,sometimes,never,85 to 75,High,>4,<1,7 to 9,6 to 8,1 to 4,,5 to 7
5,male,often,sometimes,85 to 75,High,>4,1 to 4,7 to 9,6 to 8,1 to 4,,7 to 9
1,female,never,sometimes,>85,High,>4,<1,7 to 9,6 to 8,<1,,7 to 9
4,male,often,never,85 to 75,High,>4,<1,7 to 9,6 to 8,<1,,7 to 9
5,female,sometimes,sometimes,>85,High,>4,<1,7 to 9,>8,1 to 4,,7 to 9
3,male,often,often,>85,High,>4,<1,7 to 9,6 to 8,1 to 4,,7 to 9
7,male,often,never,<75,High,1 to 4,<1,7 to 9,6 to 8,>4,,7 to 9
2,male,sometimes,sometimes,>85,Low,>4,<1,7 to 9,<6,>4,,7 to 9
6,female,often,sometimes,>85,Low,>4,<1,7 to 9,6 to 8,>4,,7 to 9
7,female,never,sometimes,>85,Low,>4,1 to 4,7 to 9,6 to 8,>4,,7 to 9
8,male,sometimes,sometimes,85 to 75,Moderate,>4,<1,7 to 9,6 to 8,1 to 4,,7 to 9
5,male,often,sometimes,85 to 75,Moderate,>4,>4,7 to 9,6 to 8,1 to 4,,7 to 9
1,male,sometimes,often,85 to 75,Moderate,>4,1 to 4,7 to 9,6 to 8,1 to 4,,7 to 9
8,male,sometimes,sometimes,>85,Moderate,>4,1 to 4,7 to 9,6 to 8,1 to 4,,7 to 9
8,female,never,often,>85,Moderate,>4,1 to 4,7 to 9,6 to 8,1 to 4,,7 to 9
8,female,never,sometimes,85 to 75,Moderate,>4,<1,7 to 9,6 to 8,1 to 4,,7 to 9
8,male,sometimes,never,>85,Moderate,>4,<1,7 to 9,<6,1 to 4,,7 to 9
7,male,never,sometimes,>85,Moderate,>4,1 to 4,7 to 9,>8,>4,,7 to 9
2,male,sometimes,sometimes,85 to 75,Moderate,>4,1 to 4,7 to 9,6 to 8,>4,,7 to 9
4,male,sometimes,often,85 to 75,Moderate,>4,<1,7 to 9,<6,<1,,7 to 9
3,male,sometimes,never,<75,Moderate,>4,1 to 4,7 to 9,6 to 8,<1,,7 to 9
4,female,sometimes,sometimes,>85,Moderate,1 to 4,<1,7 to 9,6 to 8,1 to 4,,7 to 9
8,female,sometimes,sometimes,>85,Moderate,1 to 4,1 to 4,7 to 9,6 to 8,<1,,7 to 9
3,male,sometimes,never,>85,Moderate,1 to 4,1 to 4,7 to 9,>8,1 to 4,,7 to 9
2,male,never,never,85 to 75,Moderate,1 to 4,1 to 4,7 to 9,6 to 8,1 to 4,,7 to 9
